,Text A,Text B,Target
0,in object oriented programming inheritance is a way to form new classes instances of which are called objects using classes that have already been defined the inheritance concept was invented in for simula  the new classes known as derived classes take over or inherit attributes and behavior of the pre existing classes which are referred to as base classes or ancestor classes  it is intended to help reuse existing code with little or no modification  inheritance provides the support for representation by categorization in computer languages categorization is a powerful mechanism number of information processing crucial to human learning by means of generalization what is known about specific entities is applied to a wider group given a belongs relation can be established and cognitive economy less information needs to be stored about each specific entity only its particularities  inheritance is also sometimes called generalization because the is a relationships represent a hierarchy between classes of objects for instance a fruit is a generalization of apple  orange  mango and many others one can consider fruit to be an abstraction of apple orange etc conversely since apples are fruit i e  an apple is a fruit  apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program inheritance therefore has another view a dual called polymorphism which describes many pieces of code being controlled by shared control code inheritance is typically accomplished either by overriding replacing one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor  complex inheritance or inheritance used within a design that is not sufficiently mature may lead to the yo yo problem ,inheritance is a basic concept of object oriented programming where the basic idea is to create new classes that add extra detail to existing classes this is done by allowing the new classes to reuse the methods and variables of the existing classes and new methods and classes are added to specialise the new class inheritance models the is kind of relationship between entities or objects  for example postgraduates and undergraduates are both kinds of student this kind of relationship can be visualised as a tree structure where student would be the more general root node and both postgraduate and undergraduate would be more specialised extensions of the student node or the child nodes  in this relationship student would be known as the superclass or parent class whereas  postgraduate would be known as the subclass or child class because the postgraduate class extends the student class  inheritance can occur on several layers where if visualised would display a larger tree structure for example we could further extend the postgraduate node by adding two extra extended classes to it called  msc student and phd student as both these types of student are kinds of postgraduate student this would mean that both the msc student and phd student classes would inherit methods and variables from both the postgraduate and student classes  ,0
1,in object oriented programming inheritance is a way to form new classes instances of which are called objects using classes that have already been defined the inheritance concept was invented in for simula  the new classes known as derived classes take over or inherit attributes and behavior of the pre existing classes which are referred to as base classes or ancestor classes  it is intended to help reuse existing code with little or no modification  inheritance provides the support for representation by categorization in computer languages categorization is a powerful mechanism number of information processing crucial to human learning by means of generalization what is known about specific entities is applied to a wider group given a belongs relation can be established and cognitive economy less information needs to be stored about each specific entity only its particularities  inheritance is also sometimes called generalization because the is a relationships represent a hierarchy between classes of objects for instance a fruit is a generalization of apple  orange  mango and many others one can consider fruit to be an abstraction of apple orange etc conversely since apples are fruit i e  an apple is a fruit  apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program inheritance therefore has another view a dual called polymorphism which describes many pieces of code being controlled by shared control code inheritance is typically accomplished either by overriding replacing one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor  complex inheritance or inheritance used within a design that is not sufficiently mature may lead to the yo yo problem ,"успадкування - це основна концепція об'єктно-орієнтованого програмування, де основною ідеєю є створення нових класів, що додають додаткові деталі до існуючих класів, це робиться, дозволяючи новим класам повторно використовувати методи та змінні існуючих класів, а також додавати нові методи та класи для спеціалізації нових моделей успадкування класів це різновид взаємозв'язку між сутностями або об'єктами, наприклад, аспіранти та магістранти - це обидва типи студентів; цей тип відносин можна візуалізувати як деревоподібну структуру, де студент був би загальнішим кореневим вузлом, і як аспірант, так і студент буде більш спеціалізованим розширенням студентського вузла або дочірніх вузлів у цих відносинах студент буде відомий як суперклас або батьківський клас, тоді як аспірант буде відомий як підклас або дочірній клас, оскільки аспірантура розширює спадкування студентського класу може відбутися на кілька шарів, де при візуалізації відобразиться більша деревна структура для Наприклад, ми могли б далі розширити вузол аспірантури, додавши до нього два додаткові розширені класи, які називаються msc student і phd student, оскільки обидва ці типи студентів є різновидами аспірантів, це означатиме, що і MSC, і PhD студентські класи успадковують методи та змінні як з аспірантури, так і зі студентів",0
2,"в об'єктно-орієнтованому програмуванні успадкування - це спосіб формування нових класів, екземпляри яких називаються об'єктами, використовуючи класи, які вже були визначені. Концепція успадкування була винайдена для моделювання нових класів, відомих як похідні класи, беруть на себе або успадковують атрибути та поведінку попереднього існуючі класи, які називаються базовими класами або класами предків, він призначений допомогти повторно використати існуючий код із незначним зменшенням або зовсім не модифікує його, забезпечує підтримку представлення шляхом категоризації в комп'ютерних мовах; категоризація є потужним механізмом обробки інформації, що має вирішальне значення для навчання людини Засоби узагальнення, що відомо про конкретні сутності, застосовуються до ширшої групи з огляду на належність відносин, і когнітивна економіка вимагає зберігати менше інформації про кожну конкретну сутність, лише успадкування її особливостей також іноді називають узагальненням, оскільки відносини представляють ієрархія бути між класами об'єктів, наприклад, фрукт - це узагальнення яблучного апельсинового манго, і багато інших можна вважати фрукт абстракцією яблучного апельсина тощо, навпаки, оскільки яблука - це фрукти, тобто яблуко - це фрукт, яблука можуть природно успадкувати всі властивості, загальні для всі фрукти, такі як м'ясистий контейнер для насіння рослини, перевага успадкування полягає в тому, що модулі з досить подібними інтерфейсами можуть обмінюватися великою кількістю коду, що зменшує складність успадкування програми, отже, існує інший погляд, подвійний, який називається поліморфізмом, що описує багато частин коду, який контролюється спільним контрольним успадкуванням коду, як правило, здійснюється або шляхом заміни заміни одного або декількох методів, виставлених предком, або шляхом додавання нових методів до тих, що піддаються складному успадкуванню або спадкуванню предка, що використовується в конструкції, яка недостатньо зріла, може призвести до проблема йо йо",inheritance is a basic concept of object oriented programming where the basic idea is to create new classes that add extra detail to existing classes this is done by allowing the new classes to reuse the methods and variables of the existing classes and new methods and classes are added to specialise the new class inheritance models the is kind of relationship between entities or objects  for example postgraduates and undergraduates are both kinds of student this kind of relationship can be visualised as a tree structure where student would be the more general root node and both postgraduate and undergraduate would be more specialised extensions of the student node or the child nodes  in this relationship student would be known as the superclass or parent class whereas  postgraduate would be known as the subclass or child class because the postgraduate class extends the student class  inheritance can occur on several layers where if visualised would display a larger tree structure for example we could further extend the postgraduate node by adding two extra extended classes to it called  msc student and phd student as both these types of student are kinds of postgraduate student this would mean that both the msc student and phd student classes would inherit methods and variables from both the postgraduate and student classes  ,0
3,"в об'єктно-орієнтованому програмуванні успадкування - це спосіб формування нових класів, екземпляри яких називаються об'єктами, використовуючи класи, які вже були визначені. Концепція успадкування була винайдена для моделювання нових класів, відомих як похідні класи, беруть на себе або успадковують атрибути та поведінку попереднього існуючі класи, які називаються базовими класами або класами предків, він призначений допомогти повторно використати існуючий код із незначним зменшенням або зовсім не модифікує його, забезпечує підтримку представлення шляхом категоризації в комп'ютерних мовах; категоризація є потужним механізмом обробки інформації, що має вирішальне значення для навчання людини Засоби узагальнення, що відомо про конкретні сутності, застосовуються до ширшої групи з огляду на належність відносин, і когнітивна економіка вимагає зберігати менше інформації про кожну конкретну сутність, лише успадкування її особливостей також іноді називають узагальненням, оскільки відносини представляють ієрархія бути між класами об'єктів, наприклад, фрукт - це узагальнення яблучного апельсинового манго, і багато інших можна вважати фрукт абстракцією яблучного апельсина тощо, навпаки, оскільки яблука - це фрукти, тобто яблуко - це фрукт, яблука можуть природно успадкувати всі властивості, загальні для всі фрукти, такі як м'ясистий контейнер для насіння рослини, перевага успадкування полягає в тому, що модулі з досить подібними інтерфейсами можуть обмінюватися великою кількістю коду, що зменшує складність успадкування програми, отже, існує інший погляд, подвійний, який називається поліморфізмом, що описує багато частин коду, який контролюється спільним контрольним успадкуванням коду, як правило, здійснюється або шляхом заміни заміни одного або декількох методів, виставлених предком, або шляхом додавання нових методів до тих, що піддаються складному успадкуванню або спадкуванню предка, що використовується в конструкції, яка недостатньо зріла, може призвести до проблема йо йо","успадкування - це основна концепція об'єктно-орієнтованого програмування, де основною ідеєю є створення нових класів, що додають додаткові деталі до існуючих класів, це робиться, дозволяючи новим класам повторно використовувати методи та змінні існуючих класів, а також додавати нові методи та класи для спеціалізації нових моделей успадкування класів це різновид взаємозв'язку між сутностями або об'єктами, наприклад, аспіранти та магістранти - це обидва типи студентів; цей тип відносин можна візуалізувати як деревоподібну структуру, де студент був би загальнішим кореневим вузлом, і як аспірант, так і студент буде більш спеціалізованим розширенням студентського вузла або дочірніх вузлів у цих відносинах студент буде відомий як суперклас або батьківський клас, тоді як аспірант буде відомий як підклас або дочірній клас, оскільки аспірантура розширює спадкування студентського класу може відбутися на кілька шарів, де при візуалізації відобразиться більша деревна структура для Наприклад, ми могли б далі розширити вузол аспірантури, додавши до нього два додаткові розширені класи, які називаються msc student і phd student, оскільки обидва ці типи студентів є різновидами аспірантів, це означатиме, що і MSC, і PhD студентські класи успадковують методи та змінні як з аспірантури, так і зі студентів",0
4,in object oriented programming inheritance is a way to form new classes instances of which are called objects using classes that have already been defined the inheritance concept was invented in for simula  the new classes known as derived classes take over or inherit attributes and behavior of the pre existing classes which are referred to as base classes or ancestor classes  it is intended to help reuse existing code with little or no modification  inheritance provides the support for representation by categorization in computer languages categorization is a powerful mechanism number of information processing crucial to human learning by means of generalization what is known about specific entities is applied to a wider group given a belongs relation can be established and cognitive economy less information needs to be stored about each specific entity only its particularities  inheritance is also sometimes called generalization because the is a relationships represent a hierarchy between classes of objects for instance a fruit is a generalization of apple  orange  mango and many others one can consider fruit to be an abstraction of apple orange etc conversely since apples are fruit i e  an apple is a fruit  apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program inheritance therefore has another view a dual called polymorphism which describes many pieces of code being controlled by shared control code inheritance is typically accomplished either by overriding replacing one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor  complex inheritance or inheritance used within a design that is not sufficiently mature may lead to the yo yo problem ,inheritance is a basic concept in object oriented programming it models the reuse of existing class code in new classes  the is a kind of relationship  for example a house is a kind of building similarly an office block is a kind of building both house and office block will inherit certain characteristics from buildings but also have their own personal characteristics  a house may have a number of occupants whereas an office block will have a number of offices however these personal characteristics don t apply to all types of buildings  in this example the building would be considered the superclass  it contains general characteristics for other objects to inherit  and the house and office block are both subclasses  they are specific types and specialise the characteristics of the superclass  java allows object inheritance when one class inherits from another class all the public variables and methods are available to the subclass  public class shape private color colour public void setcolour color newcolour  colour  newcolour  public class circle extends shape private int radius public void setradius int newradius  radius  newradius  in this example the circle class is a subclass of the shape class the shape class provides a public setcolour method which will be available to the circle class and other subclasses of shape however the private variable colour as defined in the shape class will not be available for direct manipulation by the circle class because it is not inherited the circle class specialises the shape class which means that setradius is available to the circle class and all subclasses of circle but it isn t available to the superclass shape  ,0
5,in object oriented programming inheritance is a way to form new classes instances of which are called objects using classes that have already been defined the inheritance concept was invented in for simula  the new classes known as derived classes take over or inherit attributes and behavior of the pre existing classes which are referred to as base classes or ancestor classes  it is intended to help reuse existing code with little or no modification  inheritance provides the support for representation by categorization in computer languages categorization is a powerful mechanism number of information processing crucial to human learning by means of generalization what is known about specific entities is applied to a wider group given a belongs relation can be established and cognitive economy less information needs to be stored about each specific entity only its particularities  inheritance is also sometimes called generalization because the is a relationships represent a hierarchy between classes of objects for instance a fruit is a generalization of apple  orange  mango and many others one can consider fruit to be an abstraction of apple orange etc conversely since apples are fruit i e  an apple is a fruit  apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program inheritance therefore has another view a dual called polymorphism which describes many pieces of code being controlled by shared control code inheritance is typically accomplished either by overriding replacing one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor  complex inheritance or inheritance used within a design that is not sufficiently mature may lead to the yo yo problem ,"успадкування є базовим поняттям в об'єктно-орієнтованому програмуванні; воно моделює повторне використання існуючого коду класу в нових класах; це свого роду відносини, наприклад, будинок - це тип будівлі, аналогічно офісний блок - це тип будівлі як будинку, так і офісного блоку. успадковувати певні характеристики від будівель, але також мати свої власні особисті характеристики, будинок може мати кількість мешканців, тоді як офісний блок матиме певну кількість офісів, однак ці особисті характеристики не стосуються всіх типів будівель. суперклас, який він містить загальні характеристики для інших об’єктів для успадкування, а блок будинку та офісу - це обидва підкласи, вони є конкретними типами і спеціалізуються на характеристиках Java суперкласу, дозволяють успадкування об’єктів, коли один клас успадковує від іншого класу всі загальнодоступні змінні та методи. до підкласу public class shape приватний колір color public void se tcolour color newcolour color newcolour коло публічного класу розширює форму private int radius public void setradius int newradius radius newradius у цьому прикладі клас кола є підкласом класу shape, клас shape забезпечує загальнодоступний метод setcolour, який буде доступний для класу кола і інші підкласи фігури, однак приватний змінний колір, визначений у класі фігури, не буде доступний для прямого маніпулювання класом кола, оскільки він не успадковується, клас кола спеціалізується на класі фігури, що означає, що setradius доступний для класу кола та всіх підкласи кола, але це не доступно для форми суперкласу",0
6,"в об'єктно-орієнтованому програмуванні успадкування - це спосіб формування нових класів, екземпляри яких називаються об'єктами, використовуючи класи, які вже були визначені. Концепція успадкування була винайдена для моделювання нових класів, відомих як похідні класи, беруть на себе або успадковують атрибути та поведінку попереднього існуючі класи, які називаються базовими класами або класами предків, він призначений допомогти повторно використати існуючий код із незначним зменшенням або зовсім не модифікує його, забезпечує підтримку представлення шляхом категоризації в комп'ютерних мовах; категоризація є потужним механізмом обробки інформації, що має вирішальне значення для навчання людини Засоби узагальнення, що відомо про конкретні сутності, застосовуються до ширшої групи з огляду на належність відносин, і когнітивна економіка вимагає зберігати менше інформації про кожну конкретну сутність, лише успадкування її особливостей також іноді називають узагальненням, оскільки відносини представляють ієрархія бути між класами об'єктів, наприклад, фрукт - це узагальнення яблучного апельсинового манго, і багато інших можна вважати фрукт абстракцією яблучного апельсина тощо, навпаки, оскільки яблука - це фрукти, тобто яблуко - це фрукт, яблука можуть природно успадкувати всі властивості, загальні для всі фрукти, такі як м'ясистий контейнер для насіння рослини, перевага успадкування полягає в тому, що модулі з досить подібними інтерфейсами можуть обмінюватися великою кількістю коду, що зменшує складність успадкування програми, отже, існує інший погляд, подвійний, який називається поліморфізмом, що описує багато частин коду, який контролюється спільним контрольним успадкуванням коду, як правило, здійснюється або шляхом заміни заміни одного або декількох методів, виставлених предком, або шляхом додавання нових методів до тих, що піддаються складному успадкуванню або спадкуванню предка, що використовується в конструкції, яка недостатньо зріла, може призвести до проблема йо йо",inheritance is a basic concept in object oriented programming it models the reuse of existing class code in new classes  the is a kind of relationship  for example a house is a kind of building similarly an office block is a kind of building both house and office block will inherit certain characteristics from buildings but also have their own personal characteristics  a house may have a number of occupants whereas an office block will have a number of offices however these personal characteristics don t apply to all types of buildings  in this example the building would be considered the superclass  it contains general characteristics for other objects to inherit  and the house and office block are both subclasses  they are specific types and specialise the characteristics of the superclass  java allows object inheritance when one class inherits from another class all the public variables and methods are available to the subclass  public class shape private color colour public void setcolour color newcolour  colour  newcolour  public class circle extends shape private int radius public void setradius int newradius  radius  newradius  in this example the circle class is a subclass of the shape class the shape class provides a public setcolour method which will be available to the circle class and other subclasses of shape however the private variable colour as defined in the shape class will not be available for direct manipulation by the circle class because it is not inherited the circle class specialises the shape class which means that setradius is available to the circle class and all subclasses of circle but it isn t available to the superclass shape  ,0
7,"в об'єктно-орієнтованому програмуванні успадкування - це спосіб формування нових класів, екземпляри яких називаються об'єктами, використовуючи класи, які вже були визначені. Концепція успадкування була винайдена для моделювання нових класів, відомих як похідні класи, беруть на себе або успадковують атрибути та поведінку попереднього існуючі класи, які називаються базовими класами або класами предків, він призначений допомогти повторно використати існуючий код із незначним зменшенням або зовсім не модифікує його, забезпечує підтримку представлення шляхом категоризації в комп'ютерних мовах; категоризація є потужним механізмом обробки інформації, що має вирішальне значення для навчання людини Засоби узагальнення, що відомо про конкретні сутності, застосовуються до ширшої групи з огляду на належність відносин, і когнітивна економіка вимагає зберігати менше інформації про кожну конкретну сутність, лише успадкування її особливостей також іноді називають узагальненням, оскільки відносини представляють ієрархія бути між класами об'єктів, наприклад, фрукт - це узагальнення яблучного апельсинового манго, і багато інших можна вважати фрукт абстракцією яблучного апельсина тощо, навпаки, оскільки яблука - це фрукти, тобто яблуко - це фрукт, яблука можуть природно успадкувати всі властивості, загальні для всі фрукти, такі як м'ясистий контейнер для насіння рослини, перевага успадкування полягає в тому, що модулі з досить подібними інтерфейсами можуть обмінюватися великою кількістю коду, що зменшує складність успадкування програми, отже, існує інший погляд, подвійний, який називається поліморфізмом, що описує багато частин коду, який контролюється спільним контрольним успадкуванням коду, як правило, здійснюється або шляхом заміни заміни одного або декількох методів, виставлених предком, або шляхом додавання нових методів до тих, що піддаються складному успадкуванню або спадкуванню предка, що використовується в конструкції, яка недостатньо зріла, може призвести до проблема йо йо","успадкування є базовим поняттям в об'єктно-орієнтованому програмуванні; воно моделює повторне використання існуючого коду класу в нових класах; це свого роду відносини, наприклад, будинок - це тип будівлі, аналогічно офісний блок - це тип будівлі як будинку, так і офісного блоку. успадковувати певні характеристики від будівель, але також мати свої власні особисті характеристики, будинок може мати кількість мешканців, тоді як офісний блок матиме певну кількість офісів, однак ці особисті характеристики не стосуються всіх типів будівель. суперклас, який він містить загальні характеристики для інших об’єктів для успадкування, а блок будинку та офісу - це обидва підкласи, вони є конкретними типами і спеціалізуються на характеристиках Java суперкласу, дозволяють успадкування об’єктів, коли один клас успадковує від іншого класу всі загальнодоступні змінні та методи. до підкласу public class shape приватний колір color public void se tcolour color newcolour color newcolour коло публічного класу розширює форму private int radius public void setradius int newradius radius newradius у цьому прикладі клас кола є підкласом класу shape, клас shape забезпечує загальнодоступний метод setcolour, який буде доступний для класу кола і інші підкласи фігури, однак приватний змінний колір, визначений у класі фігури, не буде доступний для прямого маніпулювання класом кола, оскільки він не успадковується, клас кола спеціалізується на класі фігури, що означає, що setradius доступний для класу кола та всіх підкласи кола, але це не доступно для форми суперкласу",0
8,in object oriented programming inheritance is a way to form new classes instances of which are called objects using classes that have already been defined the inheritance concept was invented in for simula  the new classes known as derived classes take over or inherit attributes and behavior of the pre existing classes which are referred to as base classes or ancestor classes  it is intended to help reuse existing code with little or no modification  inheritance provides the support for representation by categorization in computer languages categorization is a powerful mechanism number of information processing crucial to human learning by means of generalization what is known about specific entities is applied to a wider group given a belongs relation can be established and cognitive economy less information needs to be stored about each specific entity only its particularities  inheritance is also sometimes called generalization because the is a relationships represent a hierarchy between classes of objects for instance a fruit is a generalization of apple  orange  mango and many others one can consider fruit to be an abstraction of apple orange etc conversely since apples are fruit i e  an apple is a fruit  apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program inheritance therefore has another view a dual called polymorphism which describes many pieces of code being controlled by shared control code inheritance is typically accomplished either by overriding replacing one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor  complex inheritance or inheritance used within a design that is not sufficiently mature may lead to the yo yo problem ,inheritance in object oriented programming is where a new class is formed using classes which have allready been defined these classes have have some of the behavior and attributes which where existent in the classes that it inherited from the peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification  inheritance allowes classes to be categorized similer to the way humans catagorize it also provides a way to generalize du to the is a relationship between classes for example a cow is a generalization of animal similarly so are pigs  cheaters  defeining classes in this way allows us to define attributes and behaviours which are commen to all animals in one class so cheaters would natuarly inheart properities commen to all animals  the advantage of inheritance is that classes which would otherwise have alot of similar code  can instead shair the same code thus reducing the complexity of the program inheritance therefore can also be refered to as polymorphism which is where many pieces of code are controled by shared control code  inheritance can be accomplished by overriding methods in its ancestor or by adding new methods  ,1
9,in object oriented programming inheritance is a way to form new classes instances of which are called objects using classes that have already been defined the inheritance concept was invented in for simula  the new classes known as derived classes take over or inherit attributes and behavior of the pre existing classes which are referred to as base classes or ancestor classes  it is intended to help reuse existing code with little or no modification  inheritance provides the support for representation by categorization in computer languages categorization is a powerful mechanism number of information processing crucial to human learning by means of generalization what is known about specific entities is applied to a wider group given a belongs relation can be established and cognitive economy less information needs to be stored about each specific entity only its particularities  inheritance is also sometimes called generalization because the is a relationships represent a hierarchy between classes of objects for instance a fruit is a generalization of apple  orange  mango and many others one can consider fruit to be an abstraction of apple orange etc conversely since apples are fruit i e  an apple is a fruit  apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program inheritance therefore has another view a dual called polymorphism which describes many pieces of code being controlled by shared control code inheritance is typically accomplished either by overriding replacing one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor  complex inheritance or inheritance used within a design that is not sufficiently mature may lead to the yo yo problem ,"успадкування в об'єктно-орієнтованому програмуванні - це де новий клас формується з використанням класів, які вже були визначені; ці класи мають деяку поведінку та атрибути, які там, де існують у класах, які він успадкував від перодів успадкування в об'єктно-орієнтованому програмуванні, є мінімізацією повторне використання існуючого коду без модифікації успадкування дозволяє класифікувати класи, подібні до того, як люди здійснюють його катагоризацію, а також забезпечує спосіб узагальнення, оскільки відносини між класами, наприклад, корова є генералізацією тварин, так само як і свині, які обманюють класи, у такий спосіб дозволяє нам визначити атрибути та поведінку, які відповідають всім тваринам одного класу, тому обманщики, природно, сердечні властивості, що відповідають всім тваринам. Перевага спадкування полягає в тому, що класи, які в іншому випадку мали б багато подібного коду, можуть замість цього використовувати один і той же код таким чином зменшуючи складність успадкування програми, отже може також b Це називається поліморфізмом, де багато фрагментів коду контролюються спільним контрольним успадкуванням коду, може бути здійснено шляхом заміни методів у його предка або додаванням нових методів",1
